from_issue_key,to_issue_key,link_type,raw_link_type,direction
OFBIZ-11526,OFBIZ-11527,Is contained by,Container,inward
OFBIZ-11526,OFBIZ-11527,contains,Container,outward
OFBIZ-11526,OFBIZ-11528,contains,Container,outward
OFBIZ-11522,OFBIZ-11525,Is contained by,Container,inward
OFBIZ-11522,OFBIZ-11524,Is contained by,Container,inward
OFBIZ-11522,OFBIZ-11523,Is contained by,Container,inward
OFBIZ-11522,OFBIZ-11523,contains,Container,outward
OFBIZ-11522,OFBIZ-11524,contains,Container,outward
OFBIZ-11522,OFBIZ-11525,contains,Container,outward
OFBIZ-11521,OFBIZ-11031,depends upon,dependent,outward
OFBIZ-11521,OFBIZ-11571,depends upon,dependent,outward
OFBIZ-11600,OFBIZ-11506,is related to,Reference,inward
OFBIZ-11468,OFBIZ-11909,causes,Problem/Incident,outward
OFBIZ-9923,OFBIZ-11466,is broken by,Regression,inward
OFBIZ-12185,OFBIZ-11462,is fixed by,Completes,inward
OFBIZ-11462,OFBIZ-11983,breaks,Regression,outward
OFBIZ-11459,OFBIZ-10947,depends upon,dependent,outward
OFBIZ-11459,OFBIZ-10989,depends upon,dependent,outward
OFBIZ-11459,OFBIZ-11054,depends upon,dependent,outward
OFBIZ-11459,OFBIZ-11065,depends upon,dependent,outward
OFBIZ-11459,OFBIZ-11066,depends upon,dependent,outward
OFBIZ-11438,OFBIZ-11459,is depended upon by,dependent,inward
OFBIZ-11442,OFBIZ-11843,causes,Problem/Incident,outward
OFBIZ-11442,OFBIZ-12392,breaks,Regression,outward
OFBIZ-11442,OFBIZ-12282,breaks,Regression,outward
OFBIZ-11438,OFBIZ-10947,depends upon,dependent,outward
OFBIZ-11438,OFBIZ-10989,depends upon,dependent,outward
OFBIZ-11438,OFBIZ-11054,depends upon,dependent,outward
OFBIZ-11438,OFBIZ-11065,depends upon,dependent,outward
OFBIZ-11438,OFBIZ-11066,depends upon,dependent,outward
OFBIZ-11438,OFBIZ-11459,depends upon,dependent,outward
OFBIZ-11436,OFBIZ-11844,breaks,Regression,outward
OFBIZ-11432,OFBIZ-11426,duplicates,Duplicate,outward
OFBIZ-11426,OFBIZ-11432,is related to,Reference,inward
OFBIZ-11432,OFBIZ-11426,is duplicated by,Duplicate,inward
OFBIZ-11426,OFBIZ-11432,relates to,Reference,outward
OFBIZ-11306,OFBIZ-11425,is depended upon by,dependent,inward
OFBIZ-11422,OFBIZ-11361,duplicates,Duplicate,outward
OFBIZ-10288,OFBIZ-11420,is broken by,Regression,inward
OFBIZ-11312,OFBIZ-11417,is duplicated by,Duplicate,inward
OFBIZ-11415,OFBIZ-11330,is a clone of,Cloners,outward
OFBIZ-10948,OFBIZ-11414,is related to,Reference,inward
OFBIZ-11030,OFBIZ-11414,is related to,Reference,inward
OFBIZ-10955,OFBIZ-11414,is related to,Reference,inward
OFBIZ-11413,OFBIZ-11986,causes,Problem/Incident,outward
OFBIZ-11572,OFBIZ-11413,is required by,Required,inward
OFBIZ-11847,OFBIZ-11407,is cloned by,Cloners,inward
OFBIZ-11406,OFBIZ-7610,relates to,Reference,outward
OFBIZ-11974,OFBIZ-11405,Is contained by,Container,inward
OFBIZ-11404,OFBIZ-10536,duplicates,Duplicate,outward
OFBIZ-11402,OFBIZ-11590,breaks,Regression,outward
OFBIZ-11402,OFBIZ-11633,breaks,Regression,outward
OFBIZ-11422,OFBIZ-11361,is duplicated by,Duplicate,inward
OFBIZ-11354,OFBIZ-11229,requires,Required,outward
OFBIZ-11349,OFBIZ-11353,is related to,Reference,inward
OFBIZ-11349,OFBIZ-11353,relates to,Reference,outward
OFBIZ-11348,OFBIZ-11349,is related to,Reference,inward
OFBIZ-11348,OFBIZ-11349,relates to,Reference,outward
OFBIZ-4274,OFBIZ-11347,is related to,Reference,inward
OFBIZ-11788,OFBIZ-11344,is related to,Reference,inward
OFBIZ-11236,OFBIZ-11344,is related to,Reference,inward
OFBIZ-11339,OFBIZ-11338,relates to,Reference,outward
OFBIZ-10518,OFBIZ-11339,is related to,Reference,inward
OFBIZ-11339,OFBIZ-11338,is related to,Reference,inward
OFBIZ-10518,OFBIZ-11338,is related to,Reference,inward
OFBIZ-11336,OFBIZ-11826,relates to,Reference,outward
OFBIZ-8202,OFBIZ-11336,is related to,Reference,inward
OFBIZ-11334,OFBIZ-10987,depends upon,dependent,outward
OFBIZ-11333,OFBIZ-10639,is a clone of,Cloners,outward
OFBIZ-11415,OFBIZ-11330,is cloned by,Cloners,inward
OFBIZ-11306,OFBIZ-11329,is depended upon by,dependent,inward
OFBIZ-11328,OFBIZ-12426,relates to,Reference,outward
OFBIZ-4274,OFBIZ-11328,is related to,Reference,inward
OFBIZ-11327,OFBIZ-10746,duplicates,Duplicate,outward
