issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
OFBIZ-10078,[Refactoring] Package org.apache.ofbiz.content.output,,,,,,,,0,0,3425,1,1
OFBIZ-10079,[Refactoring] Package org.apache.ofbiz.content.survey,,,,,,,,0,0,7108,1,1
OFBIZ-1008,ObjectType does not recognize arrays,,,,,,,,0,0,79,1,1
OFBIZ-10080,[Refactoring] Package org.apache.ofbiz.content.webapp.ftl,,,,,,,,0,0,12311,1,1
OFBIZ-10081,[Refactoring] Package org.apache.ofbiz.product.promo,,,,,,,,0,0,2260,1,1
OFBIZ-10082,[Refactoring] Package org.apache.ofbiz.product.spreadsheetimport,,,,,,,,0,0,5553,1,1
OFBIZ-10083,"Replace all the ""e.printStackTrace();"" by calls to Debug class",,,,,,,,0,0,6251,1,1
OFBIZ-10084,[Refactoring] Package org.apache.ofbiz.order.shoppingcart,,,,,,,,0,0,2519,1,1
OFBIZ-10085,Prevent the possible return of the Robot attack,,,,,,,,0,0,10634,1,1
OFBIZ-10086,Make the social networks icons more visible by moving then from the footer to the header,,,,,,,,0,0,4885,1,1
OFBIZ-10087,Viewing entity in webtools no longer works,,,,,,,,0,0,1544,1,1
OFBIZ-10088,Website can manage hidden webapp,,,,,,,,0,0,11536,1,1
OFBIZ-10089,Rewrite the Facility main screen,,,,,,,,0,0,11597,1,1
OFBIZ-1009,PayPalEvents does not create order payment preference ,,,,,,,,0,0,10855,1,1
OFBIZ-10090,Update markup of Messages page according to standard markup given by Bootstrap v4.0.s,,,,,,,,0,0,5294,1,1
OFBIZ-10091,Unnecessary throws clauses in renderer classes?,,,,,,,,0,0,6162,1,1
OFBIZ-10092,Update markup of List Requests page according to standard markup given by Bootstrap v4.0.s,,,,,,,,0,0,1424,1,1
OFBIZ-10093,Replace ELRTE plugin with Trumbowyg,,,,,,,,0,0,8552,1,1
OFBIZ-10094,Remove applet concept in OFBiz,,,,,,,,0,0,3256,1,1
OFBIZ-10095,Update markup of List Quotes page according to standard markup given by Bootstrap v4.0.s,,,,,,,,0,0,12060,1,1
OFBIZ-10096,Error on updating sub content of CMS webSIte,,,,,,,,0,0,5074,1,1
OFBIZ-10097,[FB] Package org.apache.ofbiz.base.util.string,,,,,,,,0,0,460,1,1
OFBIZ-10098,service:createContent fails to create proper entity:ContentAssoc entry,,,,,,,,0,0,10076,1,1
OFBIZ-10099,Update markup of Product Detail page according to standard markup given by Bootstrap v4.0.s,,,,,,,,0,0,117,1,1
OFBIZ-101,PaymentMethod in product show all the PaymentMethods in the entire System,,,,,,,,0,0,8776,1,1
OFBIZ-1010,RequestHandler can crash when URI has ~ in path,,,,,,,,0,0,7563,1,1
OFBIZ-10100, Refactor magic numbers in org.apache.ofbiz.accounting.thirdparty.clearcommerce.CCPaymentServices,,,,,,,,0,0,3007,1,1
OFBIZ-10101,[Refactoring] Package org.apache.ofbiz.order.order,,,,,,,,0,0,10510,1,1
OFBIZ-10102,"[FB] Packages org.apache.ofbiz -bi.util, -birt and -birt.container",,,,,,,,0,0,7064,1,1
OFBIZ-10103,Useful parameter usage extension and small fix of getDependentDropdownValues in miscAjaxFunctions.js,,,,,,,,0,0,6064,1,1
OFBIZ-10104,Update markup of Shopping Cart page according to standard markup given by Bootstrap v4.0.s,,,,,,,,0,0,7549,1,1
OFBIZ-10105,Update markup of Checkout page according to standard markup given by Bootstrap v4.0.s,,,,,,,,0,0,11467,1,1
OFBIZ-10106,Restructuring of ecommerce container according to responsive behaviour of bootstrap,,,,,,,,0,0,3857,1,1
OFBIZ-10107,Replace hard coded error message String with more suitable uiLabel in CheckoutHelper.createOrder ,,,,,,,,0,0,4965,1,1
OFBIZ-10108,"Import file with data-file, add start-line to escape the header column line",,,,,,,,0,0,1984,1,1
OFBIZ-10109,Encoding issue while exporting CSV,,,,,,,,0,0,1018,1,1
OFBIZ-1011,purchase order process is broken in trunk,,,,,,,,0,0,7475,1,1
OFBIZ-10110,Update markup of Configure product page according to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,2099,1,1
OFBIZ-10111,The child event added is not listed in the Child Work Efforts. While if we add an existing event it is listed in the WorkEffort component,,,,,,,,0,0,11249,1,1
OFBIZ-10112,service:updateTextContent fails,,,,,,,,0,0,10442,1,1
OFBIZ-10113,Replace Asm select plugin with Select2.,,,,,,,,0,0,726,1,1
OFBIZ-10114,Not able to expire the rate amount and an error is displayed in Workeffort,,,,,,,,0,0,10580,1,1
OFBIZ-10115,Error on view AcctngTrans Pdf screen,,,,,,,,0,0,3940,1,1
OFBIZ-10116,Update markup of Anonymous login page according to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,7868,1,1
OFBIZ-10117,Improvement in Header and footer of ecommerce page and removed custom ecommain.css,,,,,,,,0,0,11526,1,1
OFBIZ-10118,Update multifex theme as per new markup,,,,,,,,0,0,1708,1,1
OFBIZ-10119,Update markup of Shopping Lists page according to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,6672,1,1
OFBIZ-1012,Firebird 2.0 config improvement,,,,,,,,0,0,12034,1,1
OFBIZ-10120,Unable to remove selected item from cart,,,,,,,,0,0,7418,1,1
