Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
1758,1,1,"ProductId not checked when using ""Product Jump"" box ",Feature / Improvement Implementation,Trivial,1.6,A-156,0.0,1.6,1
1778,1,1,MiniProductSummary : showPricesWithVatTax and Currency ,Bug fixing / Maintenance,Trivial,1.6,A-293,0.0,1.6,1
1798,1,1,<div/> syntax is incorrect,Bug fixing / Maintenance,Trivial,1.6,A-103,0.0,1.6,1
18,1,1,.classpath for debugginf mode in Eclipse,Feature / Improvement Implementation,Trivial,1.6,A-110,0.0,1.6,1
182,1,1,Communication creation isn't flexible,Feature / Improvement Implementation,Trivial,1.6,A-40,0.0,1.6,1
1887,1,1,Ofbiz currency rounding with 0 decimal,Build & Release Engineering,Trivial,1.6,A-375,0.0,1.6,1
193,1,1,Change display of receive PO to show the supplier's Id,Feature / Improvement Implementation,Trivial,1.6,A-200,0.0,1.6,1
194,1,1,Party Manager: Relationships: Add Relationship: Better role type dropdown,Feature / Improvement Implementation,Trivial,1.6,A-364,0.0,1.6,1
1948,1,1,"Remove ""Various"" from @throws javadoc in UelUtil.java",Documentation,Trivial,1.6,A-304,0.0,1.6,0
1954,1,1,Extend ProductUiLabels.xml with more locales for ProductCompare,Feature / Improvement Implementation,Trivial,1.6,A-57,0.0,1.6,1
1957,1,1,Add Danish and Frisian Locale Labels,Feature / Improvement Implementation,Trivial,1.6,A-125,0.0,1.6,0
1974,1,1,macro to display error messages individually besides each input field,Feature / Improvement Implementation,Trivial,1.6,A-396,0.0,1.6,1
198,1,1,Background Color on td makes reuse annoying,Bug fixing / Maintenance,Trivial,1.6,A-326,0.0,1.6,1
1998,1,1,Translation error into  OrderConfirmNotice screen,Bug fixing / Maintenance,Trivial,1.6,A-123,0.0,1.6,0
200,1,1,"I18N problem with ""Inventory Receive"" in german environment",Bug fixing / Maintenance,Trivial,1.6,A-243,0.0,1.6,1
2004,1,1,checkoutpayment XHTML validation & default payment,Bug fixing / Maintenance,Trivial,1.6,A-247,0.0,1.6,1
2007,1,1,minicart.ftl : error for thead end tag,Bug fixing / Maintenance,Trivial,1.6,A-159,0.0,1.6,1
2016,1,1,A minor change in org.ofbiz.service.engine.StandardJavaEngine,Feature / Improvement Implementation,Trivial,1.6,A-265,0.0,1.6,0
203,1,1,couple of small changes to ofbiz.org site,Feature / Improvement Implementation,Trivial,1.6,A-143,0.0,1.6,1
2077,1,1,Project page has old links,Bug fixing / Maintenance,Trivial,1.6,A-100,0.0,1.6,1
2099,1,1,Some missing Italian translations of common component,Feature / Improvement Implementation,Trivial,1.6,A-209,0.0,1.6,0
2103,1,1,Add a CSS class to allow styling help links. Then each theme can style the help link.,Feature / Improvement Implementation,Trivial,1.6,A-194,0.0,1.6,0
2105,1,1,docbook,Documentation,Trivial,1.6,A-169,0.0,1.6,0
2108,1,1,Clean keywordsearchbox.ftl using setfield as it was done in OFBIZ-3005,Other,Trivial,1.6,A-308,0.0,1.6,0
212,1,1,Incorrect lookup pagination of workeffort,Bug fixing / Maintenance,Trivial,1.6,A-4,0.0,1.6,1
2135,1,1,Error messages may look ugly in Blue Light theme,Other,Trivial,1.6,A-207,0.0,1.6,0
2139,1,1,Multiple productStore support to googleBase and eBay,Feature / Improvement Implementation,Trivial,1.6,A-211,0.0,1.6,0
2142,1,1,Show the values of form fields updated on change of website for Export to eBay form,Feature / Improvement Implementation,Trivial,1.6,A-412,0.0,1.6,0
2165,1,1,Add Constraint with respect to eBay root category for product search and change demo data according to the concept,Feature / Improvement Implementation,Trivial,1.6,A-267,0.0,1.6,1
2178,1,1,Improvement in Ebay Configuration,Feature / Improvement Implementation,Trivial,1.6,A-260,0.0,1.6,0
2189,1,1,"Replace all   ""0.00"" in java code, notably to allow passing different decimals lenghtes",Build & Release Engineering,Trivial,1.6,A-168,0.0,1.6,1
2209,1,1,Extend ContentOperationData for LEGAL_INFO,Feature / Improvement Implementation,Trivial,1.6,A-117,0.0,1.6,0
2213,1,1,Catalog menu not visible,Other,Trivial,1.6,A-23,0.0,1.6,0
2217,1,1,duplicated countries listed in currency selection,Bug fixing / Maintenance,Trivial,1.6,A-337,0.0,1.6,0
2218,1,1,Wrong Label used when creating an employee,Feature / Improvement Implementation,Trivial,1.6,A-52,0.0,1.6,1
222,1,1,Display of country name instead of id,Feature / Improvement Implementation,Trivial,1.6,A-192,0.0,1.6,0
2232,1,1,Financial Account Transaction - Enhance Deposit Slip Popup,Build & Release Engineering,Trivial,1.6,A-163,0.0,1.6,1
225,1,1,OPTIONAL_LIBRARIES does not include reference to JIMI,Documentation,Trivial,1.6,A-284,0.0,1.6,1
2250,1,1,Limit view in form to party group appartenance,Feature / Improvement Implementation,Trivial,1.6,A-264,0.0,1.6,0
2269,1,1,Internazionalization of error messages of create and update Credit Card service,Feature / Improvement Implementation,Trivial,1.6,A-283,0.0,1.6,1
2277,1,1,Performance Tests not working,Testing & Verification,Trivial,1.6,A-24,0.0,1.6,0
2279,1,1,Config Items Screen Error,Bug fixing / Maintenance,Trivial,1.6,A-186,0.0,1.6,1
2281,1,1,Fixed Asset Depreciation Report For Demo Machine Group Error,Bug fixing / Maintenance,Trivial,1.6,A-13,0.0,1.6,0
229,1,1,orderview dropdown of destination addresses sometimes doesn't show information as text in dropdown,Bug fixing / Maintenance,Trivial,1.6,A-26,0.0,1.6,1
2297,1,1,"Update the ""In The News"" section of the http://ofbiz.apache.org/ website",Project / General Task,Trivial,1.6,A-29,0.0,1.6,0
2300,1,1,menu cut off,Other,Trivial,1.6,A-178,0.0,1.6,1
2312,1,1,Web Analytics Initial Support ,Feature / Improvement Implementation,Trivial,1.6,A-405,0.0,1.6,1
