issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
ZOOKEEPER-1131,Transactions can be dropped because leader election uses last committed zxid instead of last acknowledged/received zxid,,,,,,,,0,0,739,1,1
ZOOKEEPER-1132,ZooKeeper FAQ is out of date wrt testing SessionExpiredException,,,,,,,,0,0,3118,1,1
ZOOKEEPER-1133,"allow for ""clientPortAddress=host:port""",,,,,,,,0,0,2978,1,1
ZOOKEEPER-1134,ClientCnxnSocket string comparison using == rather than equals,,,,,,,,0,0,844,1,1
ZOOKEEPER-1135,clarify usage of clientPortAddress zoo.cfg option,,,,,,,,0,0,2052,1,1
ZOOKEEPER-1136,NEW_LEADER should be queued not sent to match the Zab 1.0 protocol on the twiki,,,,,,,,0,0,1823,1,1
ZOOKEEPER-1137,AuthFLE is throwing NPE when servers are configured with different election ports.,,,,,,,,0,0,1672,1,1
ZOOKEEPER-1138,release audit failing for a number of new files,,,,,,,,0,0,3044,1,1
ZOOKEEPER-1139,"jenkins is reporting two warnings, fix these",,,,,,,,0,0,173,1,1
ZOOKEEPER-114,cleanup ugly event messages in zookeeper client,,,,,,,,2,0,194,0,1
ZOOKEEPER-1140,server shutdown is not stopping threads,,,,,,,,0,0,3565,1,1
ZOOKEEPER-1141,zkpython fails tests under python 2.4,,,,,,,,0,0,3095,1,1
ZOOKEEPER-1142,incorrect stat output,,,,,,,,0,0,207,1,1
ZOOKEEPER-1143,quorum send & recv workers are missing thread names,,,,,,,,0,0,2098,1,1
ZOOKEEPER-1144,ZooKeeperServer not starting on leader due to a race condition,,,,,,,,0,0,1717,1,1
ZOOKEEPER-1145,ObserverTest.testObserver fails at particular point after several runs of ant junt.run -Dtestcase=ObserverTest,,,,,,,,0,0,1092,1,1
ZOOKEEPER-1146,significant regression in client (c/python) performance,,,,,,,,0,0,821,1,1
ZOOKEEPER-1147,Add support for local sessions,,,,,,,,0,0,3525,1,1
ZOOKEEPER-1148,Multi-threaded handling of reads ,,,,,,,,0,0,1921,1,1
ZOOKEEPER-1149,users cannot migrate from 3.4->3.3->3.4 server code against a single datadir,,,,,,,,0,0,103,1,1
ZOOKEEPER-115,Potential NPE in QuorumCnxManager,,,,,,,,0,0,2923,1,1
ZOOKEEPER-1150,fix for this patch to compile on windows...,,,,,,,,0,0,3220,1,1
ZOOKEEPER-1151,http://zookeeper.apache.org/doc/trunk/api/ missing,,,,,,,,0,0,2764,1,1
ZOOKEEPER-1152,Exceptions thrown from handleAuthentication can cause buffer corruption issues in NIOServer,,,,,,,,0,0,810,1,1
ZOOKEEPER-1153,Deprecate AuthFLE and LE,,,,,,,,0,0,1711,1,1
ZOOKEEPER-1154,Data inconsistency when the node(s) with the highest zxid is not present at the time of leader election,,,,,,,,0,0,3415,1,1
ZOOKEEPER-1155,Add windows automated builds (CI) for zookeeper c client bindings,,,,,,,,0,0,4084,1,1
ZOOKEEPER-1156,Log truncation truncating log too much - can cause data loss,,,,,,,,0,0,3138,1,1
ZOOKEEPER-1157,Some of the tests timeout or cause JVM crash,,,,,,,,0,0,2786,1,1
ZOOKEEPER-1158,C# client,,,,,,,,0,0,1077,1,1
ZOOKEEPER-1159,ClientCnxn does not propagate session expiration indication,,,,,,,,0,0,3205,1,1
ZOOKEEPER-116,simplify testing with quorums - quorum setup test utility code,,,,,,,,0,0,1087,1,1
ZOOKEEPER-1160,test timeouts are too small,,,,,,,,0,0,1518,1,1
ZOOKEEPER-1161,Provide an option for disabling auto-creation of the data directory,,,,,,,,0,0,3715,1,1
ZOOKEEPER-1162,"consistent handling of jute.maxbuffer when attempting to read large zk ""directories""",,,,,,,,0,0,1344,1,1
ZOOKEEPER-1163,Memory leak in zk_hashtable.c:do_insert_watcher_object(),,,,,,,,0,0,3771,1,1
ZOOKEEPER-1164,Support encryption for C binding,,,,,,,,0,0,3411,1,1
ZOOKEEPER-1165,better eclipse support in tests,,,,,,,,0,0,2949,1,1
ZOOKEEPER-1166,Please add a few svn:ignore properties,,,,,,,,0,0,3221,1,1
ZOOKEEPER-1167,C api lacks synchronous version of sync() call.,,,,,,,,0,0,1535,1,1
ZOOKEEPER-1168,ZooKeeper fails to run with IKVM,,,,,,,,0,0,3234,1,1
ZOOKEEPER-1169,Fix compiler (eclipse) warnings in (generated) jute code,,,,,,,,0,0,1070,1,1
ZOOKEEPER-117,threading issues in Leader election,,,,,,,,0,0,3976,1,1
ZOOKEEPER-1170,"Fix compiler (eclipse) warnings: unused imports, unused variables, missing generics",,,,,,,,0,0,481,1,1
ZOOKEEPER-1171,fix build for java 7,,,,,,,,0,0,135,1,1
ZOOKEEPER-1172,Support for custom org.apache.zookeeper.client.HostProvider implementation.,,,,,,,,0,0,1639,1,1
ZOOKEEPER-1173,Server never forgets old ACL lists,,,,,,,,0,0,3253,1,1
ZOOKEEPER-1174,FD leak when network unreachable,,,,,,,,0,0,3149,1,1
ZOOKEEPER-1175,DataNode references parent node for no reason,,,,,,,,0,0,2656,1,1
ZOOKEEPER-1176,Remove dead code and basic cleanup in DataTree,,,,,,,,0,0,2372,1,1
ZOOKEEPER-1177,Enabling a large number of watches for a large number of clients,,,,,,,,0,0,1263,1,1
ZOOKEEPER-1178,Add eclipse target for supporting Apache IvyDE,,,,,,,,0,0,797,1,1
ZOOKEEPER-1179,NettyServerCnxn does not properly close socket on 4 letter word requests,,,,,,,,0,0,2524,1,1
ZOOKEEPER-118,findbugs flagged switch statement in followerrequestprocessor.run(),,,,,,,,0,0,311,1,1
ZOOKEEPER-1180,New entry for files ignored by svn.,,,,,,,,0,0,1074,1,1
