from_issue_key,to_issue_key,link_type,raw_link_type,direction
ZOOKEEPER-1564,ZOOKEEPER-1571,is duplicated by,Duplicate,inward
ZOOKEEPER-1571,ZOOKEEPER-1474,depends upon,dependent,outward
ZOOKEEPER-1564,ZOOKEEPER-1570,is duplicated by,Duplicate,inward
ZOOKEEPER-1570,ZOOKEEPER-1474,depends upon,dependent,outward
HBASE-7022,ZOOKEEPER-1569,is depended upon by,dependent,inward
HBASE-7022,ZOOKEEPER-1568,is depended upon by,dependent,inward
ZOOKEEPER-1564,ZOOKEEPER-1565,is duplicated by,Duplicate,inward
ZOOKEEPER-1565,ZOOKEEPER-1474,depends upon,dependent,outward
ZOOKEEPER-1564,ZOOKEEPER-1565,duplicates,Duplicate,outward
ZOOKEEPER-1564,ZOOKEEPER-1570,duplicates,Duplicate,outward
ZOOKEEPER-1564,ZOOKEEPER-1571,duplicates,Duplicate,outward
ZOOKEEPER-1564,ZOOKEEPER-1474,depends upon,dependent,outward
ZOOKEEPER-1561,ZOOKEEPER-1437,relates to,Reference,outward
ZOOKEEPER-1561,ZOOKEEPER-107,relates to,Reference,outward
ZOOKEEPER-1560,ZOOKEEPER-1561,is related to,Reference,inward
ZOOKEEPER-1560,ZOOKEEPER-1561,relates to,Reference,outward
ZOOKEEPER-1550,ZOOKEEPER-1557,is related to,Reference,inward
ZOOKEEPER-1648,ZOOKEEPER-1557,is related to,Reference,inward
ZOOKEEPER-1556,ZOOKEEPER-2015,relates to,Reference,outward
ZOOKEEPER-1632,ZOOKEEPER-1556,is related to,Reference,inward
ZOOKEEPER-1554,ZOOKEEPER-1550,relates to,Reference,outward
ZOOKEEPER-1554,ZOOKEEPER-1696,relates to,Reference,outward
ZOOKEEPER-1552,ZOOKEEPER-1462,contains,Container,outward
ZOOKEEPER-1551,ZOOKEEPER-1552,is depended upon by,dependent,inward
ZOOKEEPER-1758,ZOOKEEPER-1552,is depended upon by,dependent,inward
ZOOKEEPER-1551,ZOOKEEPER-1552,depends upon,dependent,outward
ZOOKEEPER-1550,ZOOKEEPER-1557,relates to,Reference,outward
ZOOKEEPER-1623,ZOOKEEPER-1550,is related to,Reference,inward
ZOOKEEPER-1477,ZOOKEEPER-1550,is related to,Reference,inward
ZOOKEEPER-1554,ZOOKEEPER-1550,is related to,Reference,inward
ZOOKEEPER-107,ZOOKEEPER-1549,is related to,Reference,inward
ZOOKEEPER-1115,ZOOKEEPER-1548,is related to,Reference,inward
ZOOKEEPER-1547,ZOOKEEPER-1437,relates to,Reference,outward
