Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
1476,1,2,App/Tasks progress is showing as 0% in UI even if successfully completed,Bug fixing / Maintenance,Major,2.2,A-821,21.8,24.0,1
1477,1,2,All tasks are failing due to invalid shuffle port number,Bug fixing / Maintenance,Major,2.2,A-8419,21.8,24.0,1
1479,1,2,findbugs error in ResourceLocalizationService.handle(LocalizationEvent),Bug fixing / Maintenance,Major,2.2,A-8257,21.8,24.0,1
1481,1,2,RM UI display logged in user as null,Bug fixing / Maintenance,Major,2.2,A-1279,21.8,24.0,1
1485,1,2,queueinfo.jsp fails to show queue status if any Capacity scheduler queue name has dash/hiphen in it.,Bug fixing / Maintenance,Major,2.2,A-8393,21.8,24.0,1
1487,1,2,Parse Error is coming for App ID when we click application link on the RM UI,Bug fixing / Maintenance,Major,2.2,A-5908,21.8,24.0,1
1488,1,2,MR AM crashes when a container-launch hangs on a faulty NM,Bug fixing / Maintenance,Major,2.2,A-1090,21.8,24.0,1
1490,1,2,MR task fails before launch itself with an NPE in ContainerLauncher,Bug fixing / Maintenance,Major,2.2,A-1216,21.8,24.0,1
1493,1,2,Move /mapred to /user/mapred for Hadoop 0.20.205,Bug fixing / Maintenance,Major,2.2,A-859,21.8,24.0,1
1495,1,2,Publish MR JARs to Maven snapshot repository,Bug fixing / Maintenance,Major,2.2,A-8311,21.8,24.0,1
1497,1,2,MR app hangs because of a NPE in ResourceManager,Bug fixing / Maintenance,Major,2.2,A-8423,21.8,24.0,1
1498,1,2,MapReduce AM exits prematurely before completely writing and closing the JobHistory file,Bug fixing / Maintenance,Major,2.2,A-6562,21.8,24.0,1
15,1,2,FairScheduler.getJobs(queue) should return the jobs in the order of scheduling.,Bug fixing / Maintenance,Major,2.2,A-8356,21.8,24.0,1
150,1,2,Progress of map phase in map task is not updated properly,Bug fixing / Maintenance,Major,2.2,A-6403,21.8,24.0,1
1500,1,2,[Gridmix] Improve cumulative CPU usage emulation for short running tasks,Documentation,Major,2.2,A-803,21.8,24.0,1
1502,1,2,TT should remove bad local dirs from conf to prevent constant disk checking,Other,Major,2.2,A-4674,21.8,24.0,0
1504,1,2,Rename and invert logic of '-cbuild' profile to 'native' and off by default,Build & Release Engineering,Major,2.2,A-8350,21.8,24.0,0
1508,1,2,"Can't find the symbol ""YARN_MR_PREFIX"" in MRConstants.java ",Bug fixing / Maintenance,Major,2.2,A-8264,21.8,24.0,1
1509,1,2,"all yarn webapps use same base name of ""yarn/""",Bug fixing / Maintenance,Major,2.2,A-8313,21.8,24.0,1
151,1,2,Support in DistributedCache to share cache files with other users after HADOOP-4493,Other,Major,2.2,A-1221,21.8,24.0,0
1510,1,2,Queue state is not being translated properly (is always assumed to be running),Bug fixing / Maintenance,Major,2.2,A-2357,21.8,24.0,1
