from_issue_key,to_issue_key,link_type,raw_link_type,direction
MAPREDUCE-642,MAPREDUCE-689,relates to,Reference,outward
MAPREDUCE-647,MAPREDUCE-642,is depended upon by,dependent,inward
MAPREDUCE-639,MAPREDUCE-361,blocks,Blocker,outward
MAPREDUCE-638,HADOOP-4437,relates to,Reference,outward
MAPREDUCE-637,HADOOP-5052,relates to,Reference,outward
MAPREDUCE-637,MAPREDUCE-691,relates to,Reference,outward
MAPREDUCE-637,MAPREDUCE-1923,relates to,Reference,outward
HADOOP-6766,MAPREDUCE-635,is duplicated by,Duplicate,inward
HADOOP-8437,MAPREDUCE-635,is related to,Reference,inward
MAPREDUCE-631,MAPREDUCE-628,is a clone of,Cloners,outward
MAPREDUCE-153,MAPREDUCE-631,is duplicated by,Duplicate,inward
MAPREDUCE-631,MAPREDUCE-628,is cloned by,Cloners,inward
MAPREDUCE-623,HADOOP-5628,blocks,Blocker,outward
MAPREDUCE-623,MAPREDUCE-670,blocks,Blocker,outward
MAPREDUCE-623,PIG-1033,relates to,Reference,outward
MAPREDUCE-1811,MAPREDUCE-616,is duplicated by,Duplicate,inward
MAPREDUCE-1766,MAPREDUCE-612,is duplicated by,Duplicate,inward
MAPREDUCE-606,MAPREDUCE-598,duplicates,Duplicate,outward
HADOOP-1722,MAPREDUCE-606,is related to,Reference,inward
MAPREDUCE-5018,MAPREDUCE-606,is superceded by,Supercedes,inward
MAPREDUCE-605,HADOOP-372,depends upon,dependent,outward
HDFS-318,MAPREDUCE-603,is part of,Incorporates,inward
MAPREDUCE-603,HADOOP-1190,relates to,Reference,outward
MAPREDUCE-602,MAPREDUCE-95,incorporates,Incorporates,outward
MAPREDUCE-600,MAPREDUCE-1769,relates to,Reference,outward
MAPREDUCE-606,MAPREDUCE-598,is duplicated by,Duplicate,inward
MAPREDUCE-5018,MAPREDUCE-598,is duplicated by,Duplicate,inward
HADOOP-3341,MAPREDUCE-598,is duplicated by,Duplicate,inward
MAPREDUCE-593,MAPREDUCE-3594,relates to,Reference,outward
MAPREDUCE-576,HADOOP-5623,duplicates,Duplicate,outward
MAPREDUCE-574,HADOOP-1622,relates to,Reference,outward
MAPREDUCE-570,MAPREDUCE-1766,relates to,Reference,outward
MAPREDUCE-566,HADOOP-3317,relates to,Reference,outward
MAPREDUCE-564,MAPREDUCE-653,blocks,Blocker,outward
MAPREDUCE-563,MAPREDUCE-720,incorporates,Incorporates,outward
MAPREDUCE-563,HADOOP-4487,relates to,Reference,outward
MAPREDUCE-562,MAPREDUCE-1800,relates to,Reference,outward
HADOOP-4023,MAPREDUCE-559,is related to,Reference,inward
HADOOP-3563,MAPREDUCE-557,is blocked by,Blocker,inward
