issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
MAPREDUCE-1077,"When rumen reads a truncated job tracker log, it produces a job whose outcome is SUCCESS.  Should be null.",,,,,,,,0,0,3898,1,1
MAPREDUCE-1078,Unit test for zero map jobs and killed jobs,,,,,,,,0,0,3594,1,1
MAPREDUCE-1079,"Split commands_manual.xml into common, mapreduce and hdfs parts",,,,,,,,0,0,6853,1,1
MAPREDUCE-108,Blacklisted hosts may not be able to serve map outputs,,,,,,,,0,0,697,1,1
MAPREDUCE-1080,Properties max.map.slots and max.reduce.slots should be hyphenated.,,,,,,,,0,0,1146,1,1
MAPREDUCE-1081,Move hadoop_archives.xml out of mapreduce project,,,,,,,,0,0,4431,1,1
MAPREDUCE-1082,Command line UI for queues' information is broken with hierarchical queues.,,,,,,,,2,2,3507,0,0
MAPREDUCE-1083, Use the user-to-groups mapping service in the JobTracker,,,,,,,,0,0,302,1,1
MAPREDUCE-1084,Implementing aspects development and fault injeciton framework for MapReduce,,,,,,,,0,0,6551,1,1
MAPREDUCE-1085,"For tasks, ""ulimit -v -1"" is being run when user doesn't specify mapred.child.ulimit",,,,,,,,0,0,4971,1,1
MAPREDUCE-1086,hadoop commands in streaming tasks are trying to write to tasktracker's log,,,,,,,,0,0,1233,1,1
MAPREDUCE-1087,Limit resource usage of Map/Reduce debug script,,,,,,,,0,0,6705,1,1
MAPREDUCE-1088,JobHistory files should have narrower 0600 perms ,,,,,,,,0,0,1607,1,1
MAPREDUCE-1089,Fair Scheduler preemption triggers NPE when tasks are scheduled but not running,,,,,,,,0,0,3258,1,1
MAPREDUCE-1090,Modify log statement in Tasktracker log related to memory monitoring to include attempt id.,,,,,,,,0,0,4998,1,1
MAPREDUCE-1091,TaskTrackers only work with same build as the JobTracker,,,,,,,,0,0,2432,1,1
MAPREDUCE-1092,Enable asserts for tests by default,,,,,,,,2,0,3977,0,1
MAPREDUCE-1093,Java assertion failures triggered by tests,,,,,,,,0,2,3977,1,0
MAPREDUCE-1094,CapacityScheduler's JobInitPoller shouldn't 'sleep',,,,,,,,0,0,4759,1,1
MAPREDUCE-1095,Hadoop 0.20 Compatible IdentityMapper and IdentityReducer,,,,,,,,0,0,2427,1,1
MAPREDUCE-1096,Add getNames method to VerticaRecord to retrieve input column names,,,,,,,,0,0,4467,1,1
MAPREDUCE-1097,Changes/fixes to support Vertica 3.5,,,,,,,,0,0,473,1,1
MAPREDUCE-1098,Incorrect synchronization in DistributedCache causes TaskTrackers to freeze up during localization of Cache for tasks.,,,,,,,,0,0,3799,1,1
MAPREDUCE-1099,Setup and cleanup tasks could affect job latency if they are caught running on bad nodes,,,,,,,,0,0,2175,1,1
MAPREDUCE-11,Cleanup JobHistory file naming to do with job recovery,,,,,,,,0,0,6612,1,1
MAPREDUCE-110,Unit tests for LinuxTaskController binary,,,,,,,,0,0,6553,1,1
MAPREDUCE-1100,User's task-logs filling up local disks on the TaskTrackers,,,,,,,,0,0,1435,1,1
MAPREDUCE-1101,Rename core jar to common jar,,,,,,,,0,0,5023,1,1
MAPREDUCE-1102,Job gets killed even when the cleanup completes,,,,,,,,0,0,4362,1,1
MAPREDUCE-1103,Additional JobTracker metrics,,,,,,,,0,0,2994,1,1
MAPREDUCE-1104,RecoveryManager not initialized in SimulatorJobTracker led to NPE in JT Jetty server,,,,,,,,0,2,1380,1,0
MAPREDUCE-1105,CapacityScheduler: It should be possible to set queue hard-limit beyond it's actual capacity,,,,,,,,0,0,2060,1,1
MAPREDUCE-1106,LocalJobRunner should run with any file-system,,,,,,,,0,0,5190,1,1
MAPREDUCE-1107,Creating a new fairscheduler,,,,,,,,0,0,2201,1,1
MAPREDUCE-1108,Modify test-patch.sh to verify that the number of findBugs warning is always zero,,,,,,,,0,0,2218,1,1
