issue_key,event_time,from_status,to_status
MAPREDUCE-7264,2020-02-19T11:42:09.117000+00:00,Patch Available,Open
MAPREDUCE-7264,2020-02-19T11:44:18.063000+00:00,Open,Patch Available
MAPREDUCE-7263,2020-02-11T10:18:10.551000+00:00,Open,In Progress
MAPREDUCE-7263,2020-02-11T10:43:15.262000+00:00,In Progress,Patch Available
MAPREDUCE-7263,2020-02-12T14:54:08.646000+00:00,Patch Available,Resolved
MAPREDUCE-7262,2020-01-27T15:37:36.449000+00:00,Open,Patch Available
MAPREDUCE-7262,2020-01-27T20:25:26.666000+00:00,Patch Available,Open
MAPREDUCE-7262,2020-01-27T20:25:32.472000+00:00,Open,Patch Available
MAPREDUCE-7262,2020-01-27T22:44:57.640000+00:00,Patch Available,Resolved
MAPREDUCE-7261,2020-01-22T14:42:30.223000+00:00,Open,Patch Available
MAPREDUCE-7260,2020-01-21T07:13:16.535000+00:00,Open,In Progress
MAPREDUCE-7260,2020-01-21T08:19:47.030000+00:00,In Progress,Patch Available
MAPREDUCE-7260,2020-01-29T13:48:09.179000+00:00,Patch Available,Resolved
MAPREDUCE-7259,2020-01-16T14:23:57.808000+00:00,Open,Patch Available
MAPREDUCE-7259,2020-01-21T20:33:51.076000+00:00,Patch Available,Open
MAPREDUCE-7259,2020-01-21T20:33:55.170000+00:00,Open,Patch Available
MAPREDUCE-7259,2020-01-28T23:28:03.066000+00:00,Patch Available,Resolved
MAPREDUCE-7258,2021-08-02T06:40:50.482000+00:00,Open,Resolved
MAPREDUCE-7257,2020-01-15T03:15:09.486000+00:00,Open,Resolved
MAPREDUCE-7256,2020-01-14T08:53:44.360000+00:00,Open,Patch Available
MAPREDUCE-7256,2020-01-15T03:14:24.746000+00:00,Patch Available,Resolved
MAPREDUCE-7255,2020-01-04T19:54:38.092000+00:00,Open,Patch Available
MAPREDUCE-7255,2020-01-06T03:37:27.944000+00:00,Patch Available,Resolved
MAPREDUCE-7254,2020-01-03T14:47:46.727000+00:00,Open,Resolved
MAPREDUCE-7252,2019-12-19T16:55:34.924000+00:00,Open,In Progress
MAPREDUCE-7252,2019-12-20T21:00:05.746000+00:00,In Progress,Patch Available
MAPREDUCE-7252,2020-01-09T15:55:27.761000+00:00,Patch Available,Resolved
MAPREDUCE-7250,2019-12-04T12:39:24.312000+00:00,Open,Patch Available
MAPREDUCE-7250,2019-12-04T15:04:43.761000+00:00,Patch Available,Resolved
MAPREDUCE-7249,2019-11-27T10:51:05.560000+00:00,Open,Patch Available
MAPREDUCE-7249,2019-11-28T09:26:01.128000+00:00,Patch Available,Resolved
MAPREDUCE-7247,2020-01-13T09:45:16.346000+00:00,Open,Patch Available
MAPREDUCE-7247,2020-01-16T03:59:45.946000+00:00,Patch Available,Resolved
MAPREDUCE-7246,2019-10-28T08:53:08.376000+00:00,Open,Patch Available
MAPREDUCE-7244,2019-10-04T14:53:52.151000+00:00,Open,Patch Available
MAPREDUCE-7242,2019-09-20T15:19:27.275000+00:00,Open,Patch Available
MAPREDUCE-7242,2019-09-20T17:19:08.438000+00:00,Patch Available,Open
MAPREDUCE-7242,2019-09-20T17:19:22.754000+00:00,Open,Patch Available
MAPREDUCE-7241,2019-09-18T13:45:47.925000+00:00,Open,Patch Available
MAPREDUCE-7241,2020-04-01T13:06:32.392000+00:00,Patch Available,Resolved
MAPREDUCE-7240,2019-09-18T03:00:39.441000+00:00,Open,Patch Available
MAPREDUCE-7240,2019-11-27T09:01:29.512000+00:00,Patch Available,Resolved
MAPREDUCE-7240,2019-11-27T09:34:24.841000+00:00,Resolved,Reopened
MAPREDUCE-7240,2019-11-27T09:38:59.864000+00:00,Reopened,Patch Available
MAPREDUCE-7240,2019-11-27T12:55:35.372000+00:00,Patch Available,Resolved
MAPREDUCE-7239,2019-09-05T03:08:46.900000+00:00,Open,Patch Available
MAPREDUCE-7239,2020-03-30T02:15:50.470000+00:00,Patch Available,Resolved
MAPREDUCE-7237,2019-09-04T01:39:11.308000+00:00,Open,Patch Available
MAPREDUCE-7237,2020-03-16T02:29:27.127000+00:00,Patch Available,Resolved
MAPREDUCE-7235,2019-09-02T11:20:32.177000+00:00,Open,Patch Available
MAPREDUCE-7234,2019-09-19T20:47:22.020000+00:00,Open,Resolved
MAPREDUCE-7231,2020-01-01T02:50:32.408000+00:00,Open,Resolved
MAPREDUCE-7230,2019-08-13T15:59:56.030000+00:00,Open,Patch Available
MAPREDUCE-7230,2019-08-15T15:09:38.166000+00:00,Patch Available,Resolved
MAPREDUCE-7228,2019-08-05T09:10:34.004000+00:00,Open,Resolved
MAPREDUCE-7228,2021-06-10T08:12:52.197000+00:00,Resolved,Reopened
MAPREDUCE-7228,2021-06-10T08:13:00.198000+00:00,Reopened,Resolved
MAPREDUCE-7227,2019-08-01T02:13:35.453000+00:00,Open,Patch Available
MAPREDUCE-7225,2019-07-29T16:16:03.553000+00:00,Open,In Progress
MAPREDUCE-7225,2019-07-29T16:16:05.975000+00:00,In Progress,Open
MAPREDUCE-7225,2019-07-29T16:16:08.491000+00:00,Open,In Progress
MAPREDUCE-7225,2019-07-29T16:16:17.247000+00:00,In Progress,Patch Available
MAPREDUCE-7225,2019-08-01T14:11:07.136000+00:00,Patch Available,Resolved
MAPREDUCE-7224,2019-07-12T09:29:07.534000+00:00,Open,Resolved
MAPREDUCE-7223,2019-07-12T03:56:09.414000+00:00,Open,Patch Available
MAPREDUCE-7222,2019-09-10T02:56:54.864000+00:00,Open,Resolved
MAPREDUCE-7218,2019-06-14T15:23:41.653000+00:00,Open,Patch Available
MAPREDUCE-7215,2019-07-31T08:41:12.713000+00:00,Open,In Progress
MAPREDUCE-7215,2019-07-31T08:43:20.022000+00:00,In Progress,Open
MAPREDUCE-7215,2019-07-31T08:52:53.949000+00:00,Open,Patch Available
MAPREDUCE-7214,2019-06-10T08:29:39.015000+00:00,Open,Patch Available
MAPREDUCE-7214,2019-06-11T09:41:50.408000+00:00,Patch Available,Resolved
