issue_key,jira_id,task_id
MAPREDUCE-6747,12995328,237
MAPREDUCE-881,12433216,238
MAPREDUCE-885,12433391,239
MAPREDUCE-887,12433431,240
MAPREDUCE-888,12433440,241
MAPREDUCE-891,12433492,242
MAPREDUCE-3427,12531888,242
MAPREDUCE-893,12433551,243
MAPREDUCE-894,12433555,244
MAPREDUCE-895,12433628,245
MAPREDUCE-896,12433635,246
MAPREDUCE-899,12433661,247
MAPREDUCE-903,12433744,248
MAPREDUCE-905,12433749,249
MAPREDUCE-906,12433752,250
MAPREDUCE-907,12433753,251
MAPREDUCE-911,12433911,252
MAPREDUCE-912,12434006,253
MAPREDUCE-2877,12520073,253
MAPREDUCE-915,12434070,254
MAPREDUCE-916,12434096,255
MAPREDUCE-917,12434106,256
MAPREDUCE-918,12434127,257
MAPREDUCE-923,12434207,258
MAPREDUCE-924,12434247,259
MAPREDUCE-926,12434258,260
MAPREDUCE-928,12434265,261
MAPREDUCE-929,12434292,262
MAPREDUCE-930,12434309,263
MAPREDUCE-931,12434311,264
MAPREDUCE-936,12434328,265
MAPREDUCE-937,12434329,266
MAPREDUCE-938,12434333,267
MAPREDUCE-941,12434447,268
MAPREDUCE-942,12434450,269
MAPREDUCE-944,12434573,270
MAPREDUCE-962,12434616,271
MAPREDUCE-946,12434669,272
MAPREDUCE-948,12434773,273
MAPREDUCE-1209,12434806,274
MAPREDUCE-951,12434823,275
MAPREDUCE-952,12434824,276
MAPREDUCE-953,12434828,277
MAPREDUCE-954,12434868,278
MAPREDUCE-956,12434902,279
MAPREDUCE-959,12435047,280
MAPREDUCE-960,12435050,281
MAPREDUCE-963,12435144,282
MAPREDUCE-964,12435148,283
MAPREDUCE-966,12435253,284
MAPREDUCE-967,12435279,285
MAPREDUCE-1098,12435290,286
MAPREDUCE-968,12435362,287
MAPREDUCE-969,12435371,288
MAPREDUCE-971,12435373,289
MAPREDUCE-972,12435379,290
MAPREDUCE-973,12435388,291
MAPREDUCE-975,12435572,292
MAPREDUCE-977,12435623,293
MAPREDUCE-979,12435679,294
MAPREDUCE-980,12435680,295
MAPREDUCE-984,12435703,296
MAPREDUCE-986,12435756,297
