from_issue_key,to_issue_key,link_type,raw_link_type,direction,from_summary,to_summary,same_group,same_component,same_release
MAPREDUCE-3078,MAPREDUCE-3089,is blocked by,Blocker,inward,Application's progress isn't updated from AM to RM.,Augment TestRMContainerAllocator to verify MAPREDUCE-2646,0,0,0
MAPREDUCE-3112,MAPREDUCE-3080,is blocked by,Blocker,inward,Calling hadoop cli inside mapreduce job leads to errors,dfs calls from streaming fails with ExceptionInInitializerError,0,0,0
MAPREDUCE-3078,MAPREDUCE-3089,blocks,Blocker,outward,Application's progress isn't updated from AM to RM.,Augment TestRMContainerAllocator to verify MAPREDUCE-2646,0,0,0
MAPREDUCE-3050,MAPREDUCE-2738,blocks,Blocker,outward,YarnScheduler needs to expose Resource Usage Information,Missing cluster level stats on the RM UI,0,0,0
MAPREDUCE-3050,MAPREDUCE-2790,blocks,Blocker,outward,YarnScheduler needs to expose Resource Usage Information,[MR-279] Add additional field for storing the AM/job history info on CLI,0,0,0
MAPREDUCE-3050,MAPREDUCE-2789,blocks,Blocker,outward,YarnScheduler needs to expose Resource Usage Information,[MR:279] Update the scheduling info on CLI,0,0,0
MAPREDUCE-3036,MAPREDUCE-2738,blocks,Blocker,outward,Some of the Resource Manager memory metrics go negative.,Missing cluster level stats on the RM UI,0,0,0
MAPREDUCE-2792,MAPREDUCE-3013,is blocked by,Blocker,inward,[MR-279] Replace IP addresses with hostnames,Remove YarnConfiguration.YARN_SECURITY_INFO,0,0,0
MAPREDUCE-3003,MAPREDUCE-3199,blocks,Blocker,outward,Publish MR JARs to Maven snapshot repository,TestJobMonitorAndPrint is broken on trunk,0,0,0
MAPREDUCE-3144,MAPREDUCE-2989,is blocked by,Blocker,inward,Augment JobHistory to include information needed for serving aggregated logs.,JobHistory should link to task logs,0,0,0
MAPREDUCE-2988,MAPREDUCE-2747,blocks,Blocker,outward,Reenable TestLinuxContainerExecutor reflecting the current NM code. ,[MR-279] [Security] Cleanup LinuxContainerExecutor binary sources,0,0,0
MAPREDUCE-3159,MAPREDUCE-2986,is blocked by,Blocker,inward,DefaultContainerExecutor removes appcache dir on every localization,Multiple node managers support for the MiniYARNCluster,0,0,0
MAPREDUCE-2937,MAPREDUCE-2952,is blocked by,Blocker,inward,Errors in Application failures are not shown in the client trace.,Application failure diagnostics are not consumed in a couple of cases,0,0,0
MAPREDUCE-2939,MAPREDUCE-2940,is blocked by,Blocker,inward,Ant setup on hadoop7 jenkins host,Build fails with ant 1.7.0 but works with 1.8.0,0,0,0
MAPREDUCE-2939,MAPREDUCE-2940,blocks,Blocker,outward,Ant setup on hadoop7 jenkins host,Build fails with ant 1.7.0 but works with 1.8.0,0,0,0
MAPREDUCE-2937,MAPREDUCE-2952,blocks,Blocker,outward,Errors in Application failures are not shown in the client trace.,Application failure diagnostics are not consumed in a couple of cases,0,0,0
MAPREDUCE-2898,MAPREDUCE-2889,blocks,Blocker,outward,Docs for core protocols in yarn-api - ContainerManager,Add docs for writing new application frameworks,0,0,0
