assignee_code,Skill_Tag,issue_count,skill_level
A-10065,Bug fixing / Maintenance,3,2
A-10066,Testing & Verification,3,2
A-10066,Bug fixing / Maintenance,1,1
A-10066,Other,1,1
A-10066,Project / General Task,1,1
A-10067,Feature / Improvement Implementation,1,1
A-10067,Project / General Task,1,1
A-10068,Bug fixing / Maintenance,1,1
A-10069,Bug fixing / Maintenance,2,1
A-10069,Feature / Improvement Implementation,1,1
A-1007,Testing & Verification,1,1
A-10070,Bug fixing / Maintenance,1,1
A-10071,Other,1,1
A-10071,Project / General Task,1,1
A-10072,Feature / Improvement Implementation,1,1
A-10073,Bug fixing / Maintenance,2,1
A-10073,Feature / Improvement Implementation,1,1
A-10073,Project / General Task,1,1
A-10074,Feature / Improvement Implementation,2,1
A-10075,Project / General Task,1,1
A-10076,Testing & Verification,1,1
A-10077,Feature / Improvement Implementation,1,1
A-10078,Testing & Verification,2,1
A-10079,Bug fixing / Maintenance,3,2
A-10079,Feature / Improvement Implementation,2,1
A-1008,Bug fixing / Maintenance,14,4
A-10080,Design & API Evolution,1,1
A-10081,Bug fixing / Maintenance,2,1
A-10082,Feature / Improvement Implementation,1,1
A-10083,Bug fixing / Maintenance,1,1
A-10083,Feature / Improvement Implementation,1,1
A-10084,Other,1,1
A-10085,Project / General Task,1,1
A-10086,Bug fixing / Maintenance,2,1
A-10086,Testing & Verification,2,1
A-10087,Bug fixing / Maintenance,31,5
A-10087,Project / General Task,25,5
A-10087,Testing & Verification,21,5
A-10087,Documentation,4,2
A-10087,Feature / Improvement Implementation,4,2
A-10087,Build & Release Engineering,1,1
A-10087,Other,1,1
A-10088,Bug fixing / Maintenance,1,1
A-10089,Bug fixing / Maintenance,2,1
A-10089,Feature / Improvement Implementation,1,1
A-10089,Project / General Task,1,1
A-1009,Testing & Verification,1,1
A-10090,Documentation,1,1
A-10091,Bug fixing / Maintenance,1,1
A-10091,Feature / Improvement Implementation,1,1
A-10092,Project / General Task,2,1
A-10092,Bug fixing / Maintenance,1,1
A-10093,Bug fixing / Maintenance,2,1
A-10093,Testing & Verification,2,1
A-10094,Bug fixing / Maintenance,2,1
A-10094,Feature / Improvement Implementation,1,1
A-10094,Project / General Task,1,1
A-10094,Testing & Verification,1,1
A-10095,Bug fixing / Maintenance,1,1
A-10095,Feature / Improvement Implementation,1,1
A-10096,Feature / Improvement Implementation,1,1
A-10097,Documentation,1,1
A-10098,Bug fixing / Maintenance,1,1
A-10099,Feature / Improvement Implementation,8,3
A-10099,Other,4,2
A-10099,Build & Release Engineering,2,1
A-10099,Bug fixing / Maintenance,1,1
A-10099,Design & API Evolution,1,1
A-101,Bug fixing / Maintenance,1,1
A-1010,Feature / Improvement Implementation,7,3
A-1010,Bug fixing / Maintenance,3,2
A-1010,Design & API Evolution,2,1
A-1010,Other,2,1
A-10100,Project / General Task,9,3
A-10100,Bug fixing / Maintenance,6,3
A-10100,Feature / Improvement Implementation,5,2
A-10100,Testing & Verification,4,2
A-10100,Documentation,3,2
A-10100,Design & API Evolution,1,1
A-10100,Other,1,1
A-10101,Bug fixing / Maintenance,3,2
A-10101,Feature / Improvement Implementation,3,2
A-10101,Project / General Task,2,1
A-10102,Project / General Task,16,4
A-10102,Bug fixing / Maintenance,8,3
A-10102,Testing & Verification,8,3
A-10102,Other,7,3
A-10102,Performance Optimization,3,2
A-10102,Code Refactoring & Cleanup,2,1
A-10102,Documentation,2,1
A-10102,Feature / Improvement Implementation,2,1
A-10102,Design & API Evolution,1,1
A-10103,Bug fixing / Maintenance,20,4
A-10103,Project / General Task,11,4
A-10103,Feature / Improvement Implementation,5,2
A-10103,Testing & Verification,4,2
A-10103,Other,3,2
A-10103,Design & API Evolution,1,1
